epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,802.647,0.53234,0.42013,0.98105,0.95384,0.96738,0.97884,0.82985,0.56014,0.37079,1.00198,0.00113898,0.00113898,0.00113898
43,808.993,0.5406,0.4126,0.97066,0.96236,0.97075,0.98177,0.822,0.55352,0.38646,0.98745,0.00113191,0.00113191,0.00113191
44,814.862,0.56026,0.42875,0.97797,0.93894,0.96583,0.98087,0.8226,0.57587,0.37599,1.01066,0.00112484,0.00112484,0.00112484
45,820.898,0.53768,0.41046,0.95988,0.94497,0.97855,0.97704,0.82549,0.56525,0.37813,0.97941,0.00111776,0.00111776,0.00111776
46,827.27,0.51769,0.43161,0.94661,0.95838,0.97075,0.98292,0.81874,0.56839,0.38055,1.01211,0.00111069,0.00111069,0.00111069
47,833.008,0.5147,0.3935,0.94191,0.95376,0.97237,0.97951,0.82739,0.57417,0.38682,1.01008,0.00110362,0.00110362,0.00110362
48,838.345,0.50037,0.38489,0.94466,0.96204,0.98468,0.98434,0.84212,0.55472,0.34967,1.00173,0.00109654,0.00109654,0.00109654
49,844.656,0.52293,0.40235,0.95163,0.96589,0.97077,0.98257,0.81928,0.55714,0.37917,0.99553,0.00108947,0.00108947,0.00108947
50,850.6,0.51943,0.3885,0.95198,0.95157,0.98111,0.98381,0.81249,0.59954,0.38867,1.01619,0.0010824,0.0010824,0.0010824
51,856.252,0.5017,0.37932,0.94648,0.94818,0.97055,0.98093,0.82855,0.58144,0.37436,1.01403,0.00107532,0.00107532,0.00107532
52,862.27,0.54489,0.4073,0.96857,0.95768,0.97855,0.97437,0.82492,0.55731,0.37998,0.98952,0.00106825,0.00106825,0.00106825
53,867.705,0.52062,0.38816,0.95341,0.96572,0.96309,0.97457,0.82215,0.57339,0.39487,1.00451,0.00106118,0.00106118,0.00106118
54,873.381,0.52507,0.38435,0.95782,0.96872,0.95469,0.98148,0.82346,0.56199,0.36499,0.99683,0.0010541,0.0010541,0.0010541
55,878.986,0.49145,0.36318,0.93989,0.97239,0.96708,0.98424,0.83758,0.55864,0.38405,1.00324,0.00104703,0.00104703,0.00104703
56,884.521,0.47935,0.36468,0.93704,0.94828,0.97645,0.98121,0.83352,0.56177,0.37167,1.00726,0.00103995,0.00103995,0.00103995
57,890.124,0.48245,0.36266,0.92926,0.9647,0.96995,0.98576,0.83291,0.56624,0.37108,1.0139,0.00103288,0.00103288,0.00103288
58,895.21,0.50682,0.37039,0.93923,0.95456,0.96906,0.9833,0.8391,0.56566,0.38929,0.99767,0.00102581,0.00102581,0.00102581
59,900.583,0.51013,0.37441,0.95899,0.95736,0.96774,0.98111,0.83809,0.54489,0.37493,0.9752,0.00101873,0.00101873,0.00101873
60,906.532,0.49043,0.36342,0.93597,0.95276,0.95483,0.97423,0.82734,0.54141,0.33849,0.97917,0.00101166,0.00101166,0.00101166
61,912.398,0.49776,0.35879,0.9377,0.95791,0.97191,0.97721,0.83199,0.55735,0.35905,0.99405,0.00100459,0.00100459,0.00100459
62,917.967,0.47344,0.35832,0.92213,0.94344,0.9695,0.9829,0.84308,0.53808,0.35538,0.98474,0.000997513,0.000997513,0.000997513
63,923.565,0.48794,0.35818,0.92977,0.96221,0.92739,0.97611,0.84281,0.55236,0.37189,0.98921,0.00099044,0.00099044,0.00099044
64,929.18,0.48826,0.35463,0.9365,0.96687,0.95344,0.97878,0.8358,0.57273,0.37909,1.00954,0.000983366,0.000983366,0.000983366
65,934.626,0.48546,0.3564,0.94201,0.95963,0.93998,0.97711,0.83802,0.54733,0.37101,0.98516,0.000976293,0.000976293,0.000976293
66,940.188,0.48823,0.36026,0.94294,0.95968,0.96217,0.98361,0.84458,0.5299,0.34671,0.97928,0.000969219,0.000969219,0.000969219
67,946.095,0.47486,0.34118,0.93329,0.95773,0.97011,0.96967,0.82992,0.55027,0.34565,0.98539,0.000962146,0.000962146,0.000962146
68,951.839,0.4812,0.34908,0.93644,0.95931,0.95545,0.97613,0.83438,0.54471,0.35339,0.99196,0.000955072,0.000955072,0.000955072
69,957.033,0.4886,0.35654,0.93293,0.95511,0.97114,0.97881,0.8438,0.53087,0.32676,0.97758,0.000947999,0.000947999,0.000947999
70,962.466,0.47593,0.33869,0.92892,0.95909,0.9543,0.97761,0.83663,0.55583,0.34594,0.99857,0.000940925,0.000940925,0.000940925
71,967.831,0.48762,0.34578,0.93694,0.9492,0.97135,0.98119,0.83236,0.55386,0.3574,0.99015,0.000933851,0.000933851,0.000933851
72,973.299,0.46907,0.33994,0.94077,0.95993,0.96131,0.97704,0.83163,0.54875,0.35702,0.99211,0.000926778,0.000926778,0.000926778
73,978.557,0.45401,0.33196,0.92658,0.94399,0.97178,0.98282,0.84903,0.55866,0.37104,1.00795,0.000919704,0.000919704,0.000919704
74,984.302,0.46567,0.33441,0.92008,0.95728,0.97122,0.98148,0.83929,0.57015,0.35959,1.0442,0.000912631,0.000912631,0.000912631
75,989.783,0.44853,0.33046,0.91782,0.96247,0.9605,0.97969,0.82382,0.56902,0.36689,1.02524,0.000905557,0.000905557,0.000905557
76,995.144,0.4643,0.33493,0.9393,0.95693,0.97389,0.98442,0.84749,0.54527,0.33309,0.99365,0.000898484,0.000898484,0.000898484
77,1000.4,0.47056,0.32651,0.9224,0.96229,0.96954,0.9822,0.844,0.53403,0.33552,0.97824,0.00089141,0.00089141,0.00089141
78,1005.89,0.46886,0.33466,0.93305,0.96272,0.95519,0.97548,0.84278,0.5114,0.32573,0.971,0.000884337,0.000884337,0.000884337
79,1011.08,0.45377,0.32254,0.91214,0.95709,0.96418,0.98256,0.85605,0.54336,0.34394,0.9862,0.000877263,0.000877263,0.000877263
80,1016.3,0.44226,0.3204,0.92292,0.96378,0.96185,0.97992,0.8406,0.55272,0.34758,0.98507,0.00087019,0.00087019,0.00087019
81,1021.55,0.46431,0.32247,0.93245,0.94257,0.97242,0.9743,0.83558,0.54326,0.35087,0.98213,0.000863116,0.000863116,0.000863116
82,1026.64,0.44105,0.31717,0.90687,0.94156,0.97296,0.98136,0.85067,0.53018,0.34166,0.98135,0.000856042,0.000856042,0.000856042
83,1032.02,0.4565,0.33122,0.92542,0.96905,0.9594,0.98159,0.84371,0.54281,0.34658,1.00102,0.000848969,0.000848969,0.000848969
84,1037.43,0.43633,0.31914,0.91597,0.96804,0.95786,0.98201,0.84743,0.54491,0.35224,1.00342,0.000841895,0.000841895,0.000841895
85,1042.84,0.43498,0.31961,0.92604,0.97125,0.96918,0.9806,0.84813,0.5458,0.33612,0.99411,0.000834822,0.000834822,0.000834822
86,1047.77,0.44231,0.32355,0.91271,0.96234,0.96521,0.97934,0.85477,0.53888,0.33243,0.97979,0.000827748,0.000827748,0.000827748
87,1052.53,0.4418,0.32166,0.92086,0.9619,0.95219,0.9809,0.8534,0.53257,0.3435,0.99826,0.000820675,0.000820675,0.000820675
88,1057.46,0.44934,0.31241,0.91324,0.9588,0.95367,0.97959,0.85192,0.53993,0.35186,0.99222,0.000813601,0.000813601,0.000813601
89,1062.34,0.45679,0.3475,0.92922,0.94995,0.97535,0.98163,0.84043,0.5498,0.34264,0.99778,0.000806528,0.000806528,0.000806528
90,1067.33,0.45193,0.33233,0.92959,0.97428,0.95545,0.97887,0.84462,0.52088,0.32494,0.97252,0.000799454,0.000799454,0.000799454
91,1072.55,0.42247,0.31133,0.9175,0.95178,0.96974,0.97783,0.84341,0.53609,0.33474,0.9891,0.00079238,0.00079238,0.00079238
92,1077.55,0.43526,0.31626,0.90022,0.96336,0.96447,0.98075,0.85509,0.53207,0.33287,0.99133,0.000785307,0.000785307,0.000785307
93,1082.4,0.44222,0.325,0.91451,0.96116,0.96262,0.9806,0.85033,0.52336,0.34482,0.99154,0.000778233,0.000778233,0.000778233
94,1087.17,0.41899,0.31277,0.90943,0.97039,0.95634,0.98235,0.85135,0.51147,0.34969,0.98028,0.00077116,0.00077116,0.00077116
95,1092.13,0.42851,0.31964,0.89965,0.95315,0.96059,0.97754,0.83994,0.52869,0.34744,0.99775,0.000764086,0.000764086,0.000764086
96,1097.26,0.41367,0.30157,0.90538,0.95113,0.96878,0.97615,0.83858,0.54232,0.34274,0.99929,0.000757013,0.000757013,0.000757013
97,1102.12,0.43365,0.31376,0.91508,0.95538,0.969,0.98151,0.85045,0.52571,0.33396,0.99662,0.000749939,0.000749939,0.000749939
98,1106.97,0.42809,0.30747,0.90319,0.95895,0.94834,0.97774,0.85057,0.53379,0.32515,1.0048,0.000742866,0.000742866,0.000742866
99,1111.89,0.42001,0.30359,0.90683,0.95285,0.96724,0.97773,0.84763,0.52534,0.32406,0.99712,0.000735792,0.000735792,0.000735792
100,1117.54,0.41747,0.28917,0.90216,0.96917,0.96365,0.98095,0.84389,0.54468,0.34207,1.00667,0.000728719,0.000728719,0.000728719
101,1123,0.41939,0.30511,0.90009,0.95673,0.97178,0.97962,0.84226,0.52605,0.32623,0.98849,0.000721645,0.000721645,0.000721645
102,1128.02,0.41972,0.29284,0.90109,0.96256,0.96653,0.98002,0.85483,0.51956,0.33097,0.97583,0.000714571,0.000714571,0.000714571
103,1133.02,0.41315,0.30124,0.91525,0.95797,0.96935,0.98123,0.85377,0.51366,0.30971,0.98089,0.000707498,0.000707498,0.000707498
104,1137.87,0.4112,0.29081,0.8932,0.95383,0.96242,0.98059,0.8427,0.53023,0.32266,1.00926,0.000700424,0.000700424,0.000700424
105,1142.89,0.41013,0.29449,0.89889,0.96748,0.96653,0.97601,0.83622,0.5542,0.33079,1.01938,0.000693351,0.000693351,0.000693351
106,1147.82,0.40414,0.28972,0.88804,0.95564,0.96408,0.98102,0.85461,0.51478,0.31794,0.98887,0.000686277,0.000686277,0.000686277
107,1152.72,0.42557,0.30752,0.90596,0.95315,0.97646,0.98289,0.85138,0.52141,0.32213,0.99531,0.000679204,0.000679204,0.000679204
108,1157.69,0.39669,0.27984,0.89135,0.96304,0.96601,0.98244,0.85163,0.51874,0.32499,0.98889,0.00067213,0.00067213,0.00067213
109,1162.53,0.38946,0.28554,0.89432,0.96911,0.96778,0.98387,0.85469,0.52616,0.30827,1.00298,0.000665057,0.000665057,0.000665057
110,1167.33,0.41205,0.29697,0.90569,0.96472,0.9636,0.97815,0.85318,0.51339,0.32958,0.99112,0.000657983,0.000657983,0.000657983
111,1172.3,0.40154,0.28659,0.89975,0.96312,0.96416,0.97798,0.85304,0.5202,0.31536,0.99056,0.000650909,0.000650909,0.000650909
